#,ID,Position,Connector,Topology,Device,Tesla connector PN,Harness,Harness name,Metadata,Faceview,Location,Faceview file,Cavities / route,Premium Amp pins,Engineering status
1,SPK01,Front left premium woofer,X567,PAUDIO target / replaces BAUDIO X568,Speaker Front Left Door Prem Woofer,1075244-00-A,D,Front Door Left,VERIFIED,VERIFIED,VERIFIED - CURRENT,faceviews/yazaki_7283-6444-60.svg,1 Speaker P YE -> X033B-3 AUDIO_SPEAKER_FRONT_DOOR_PASSTHROUGH_P | 2 Speaker N BU -> X033B-4 AUDIO_SPEAKER_FRONT_DOOR_PASSTHROUGH_N,X561-7/8,COMPLETE
2,SPK02,Front right premium woofer,X577,PAUDIO target / replaces BAUDIO X578,Speaker Front Right Door Prem Woofer,1075244-00-A,P,Front Door Right,VERIFIED,VERIFIED,VERIFIED - CURRENT,faceviews/yazaki_7283-6444-60.svg,1 Speaker P YE -> X053B-2 AUDIO_SPEAKER_FRONT_DOOR_PASSTHROUGH_P | 2 Speaker N BU -> X053B-1 AUDIO_SPEAKER_FRONT_DOOR_PASSTHROUGH_N,X561-1/2,COMPLETE
3,SPK03,Front left tweeter,X565,Existing BAUDIO / replace driver,Speaker Front Left Door Tweeter,1015004-00-B,DT,Front Door Trim,VERIFIED,VERIFIED,VERIFIED - CURRENT,faceviews/delphi_13649797.svg,1 Speaker P VT -> X922F-1 1 | 2 Speaker N BU -> X922F-12 12,,COMPLETE
4,SPK04,Front right tweeter,X575,Existing BAUDIO / replace driver,Speaker Front Right Door Tweeter,1015004-00-B,DT,Front Door Trim,VERIFIED,VERIFIED,VERIFIED - CURRENT,faceviews/delphi_13649797.svg,1 Speaker P VT -> X923F-1 1 | 2 Speaker N BU -> X923F-12 12,,COMPLETE
5,SPK05,Instrument panel left,X566,Existing BAUDIO / replace driver,Speaker IP Left,1679742-00-A,J,IP,VERIFIED,VERIFIED,VISUAL GAP - HTTP 403,faceviews/delphi_35328464.svg,1 Speaker P YE -> X055-37 LEFT_DASHBOARD_SPEAKER_PASSTHROUGH_P | 2 Speaker N VT -> X055-38 LEFT_DASHBOARD_SPEAKER_PASSTHROUGH_N,,COMPLETE
6,SPK06,Instrument panel center,X595,Existing BAUDIO / replace driver,Speaker IP Center,1679742-00-A,J,IP,VERIFIED,VERIFIED,VERIFIED - PRIOR CAPTURE,faceviews/delphi_35328464.svg,1 Speaker P GY -> X055-39 CENTER_DASHBOARD_SPEAKER_PASSTHROUGH_P | 2 Speaker N BU -> X055-40 CENTER_DASHBOARD_SPEAKER_PASSTHROUGH_N,,COMPLETE
7,SPK07,Instrument panel right,X576,Existing BAUDIO / replace driver,Speaker IP Right,1679742-00-A,J,IP,VERIFIED,VERIFIED,VERIFIED - CURRENT,faceviews/delphi_35328464.svg,1 Speaker P TN -> X055-35 RIGHT_DASHBOARD_SPEAKER_PASSTHROUGH_P | 2 Speaker N BK -> X055-36 RIGHT_DASHBOARD_SPEAKER_PASSTHROUGH_N,,COMPLETE
8,SPK08,Front left door 80 mm,X570,PAUDIO-only added position,Speaker Front Left Door 80mm,1679742-00-A,DT,Front Door Trim,VERIFIED,VERIFIED,VERIFIED - CURRENT,faceviews/delphi_35328464.svg,1 11 GN -> X922F-11 11 | 2 20 VT -> X922F-20 20,X560-9/10,COMPLETE
9,SPK09,Front right door 80 mm,X580,PAUDIO-only added position,Speaker Front Right Door 80mm,1679742-00-A,DT,Front Door Trim,VERIFIED,VERIFIED,VERIFIED - CURRENT,faceviews/delphi_35328464.svg,1 11 GN -> X923F-11 11 | 2 20 VT -> X923F-20 20,X560-7/8,COMPLETE
10,SPK10,Rear left door,X586,Existing BAUDIO / replace driver,Speaker Rear Left Door,1679742-00-A,RT,Rear Door Trim,VERIFIED,VERIFIED,VERIFIED - PRIOR CAPTURE,faceviews/delphi_35328464.svg,1 Speaker P RD -> X925F-1 1 | 2 Speaker N BK -> X925F-12 12,X560-1/2,COMPLETE
11,SPK11,Rear right door,X591,Existing BAUDIO / replace driver,Speaker Rear Right Door,1679742-00-A,RT,Rear Door Trim,VERIFIED,VERIFIED,VERIFIED - CURRENT,faceviews/delphi_35328464.svg,1 Speaker P RD -> X927F-1 1 | 2 Speaker N BK -> X927F-12 12,X560-3/4,COMPLETE
12,SPK12,Parcel shelf left,X588,PAUDIO-only added position,Speaker Parcel Shelf Left,1679742-00-A,Q,Parcel Shelf,VERIFIED,VERIFIED,VERIFIED - CURRENT,faceviews/delphi_35328464.svg,1 3 VT -> X970F-3 3 | 2 4 WH -> X970F-4 4,X560-11/12,COMPLETE
13,SPK13,Parcel shelf right,X593,PAUDIO-only added position,Speaker Parcel Shelf Right,1679742-00-A,Q,Parcel Shelf,VERIFIED,VERIFIED,VERIFIED - CURRENT,faceviews/delphi_35328464.svg,1 1 GY -> X970F-1 1 | 2 2 YE -> X970F-2 2,X560-5/6,COMPLETE
14,SPK14,Headliner left,X569,PAUDIO-only added position,Speaker Headliner Left,1015004-00-B,K,Headliner,VERIFIED,VERIFIED,VERIFIED - CURRENT,faceviews/delphi_13649797.svg,1 Speaker P GN -> X981F-1 1 | 2 Speaker N GY -> X981F-11 11,,COMPLETE
15,SPK15,Headliner right,X579,PAUDIO-only added position,Speaker Headliner Right,1015004-00-B,K,Headliner,VERIFIED,VERIFIED,VERIFIED - CURRENT,faceviews/delphi_13649797.svg,1 Speaker P WH -> X981F-10 10 | 2 Speaker N BN -> X981F-18 18,,COMPLETE
